"sector","year","scenario","region","pct_change"
"Agriculture",2020,"Warm/Wet","Abkhazia",-1.006
"Industry",2020,"Warm/Wet","Abkhazia",-0.4488
"Services",2020,"Warm/Wet","Abkhazia",-0.0959
"Agriculture",2020,"Warm/Wet","Samegrelo-Zemo Svaneti",-2.6828
"Industry",2020,"Warm/Wet","Samegrelo-Zemo Svaneti",-1.3298
"Services",2020,"Warm/Wet","Samegrelo-Zemo Svaneti",-0.5165
"Agriculture",2020,"Warm/Wet","Shida Kartli",-0.1891
"Industry",2020,"Warm/Wet","Shida Kartli",-0.0645
"Services",2020,"Warm/Wet","Shida Kartli",-0.0113
"Agriculture",2020,"Warm/Wet","Racha-Lechkhumi-Kvemo Svaneti",-1.0895
"Industry",2020,"Warm/Wet","Racha-Lechkhumi-Kvemo Svaneti",-0.8831
"Services",2020,"Warm/Wet","Racha-Lechkhumi-Kvemo Svaneti",-0.112
"Agriculture",2020,"Warm/Wet","Mtskheta-Mtianeti",-0.3725
"Industry",2020,"Warm/Wet","Mtskheta-Mtianeti",-0.23
"Services",2020,"Warm/Wet","Mtskheta-Mtianeti",-0.0294
"Agriculture",2020,"Warm/Wet","Kakheti",-1.4448
"Industry",2020,"Warm/Wet","Kakheti",-0.4872
"Services",2020,"Warm/Wet","Kakheti",-0.1427
"Agriculture",2020,"Warm/Wet","Samtskhe-Javakheti",-0.0635
"Industry",2020,"Warm/Wet","Samtskhe-Javakheti",-0.0216
"Services",2020,"Warm/Wet","Samtskhe-Javakheti",-0.005
"Agriculture",2020,"Warm/Wet","Ajaria",-0.9227
"Industry",2020,"Warm/Wet","Ajaria",-0.1415
"Services",2020,"Warm/Wet","Ajaria",-0.0392
"Agriculture",2020,"Warm/Wet","Kvemo Kartli",-0.4899
"Industry",2020,"Warm/Wet","Kvemo Kartli",-0.5563
"Services",2020,"Warm/Wet","Kvemo Kartli",-0.1302
"Agriculture",2020,"Warm/Wet","Guria",-2.2379
"Industry",2020,"Warm/Wet","Guria",-0.8928
"Services",2020,"Warm/Wet","Guria",-0.2475
"Agriculture",2020,"Warm/Wet","Tbilisi",-1.1108
"Industry",2020,"Warm/Wet","Tbilisi",-0.5685
"Services",2020,"Warm/Wet","Tbilisi",-0.1729
"Agriculture",2020,"Warm/Wet","Imereti",-1.3131
"Industry",2020,"Warm/Wet","Imereti",-0.9607
"Services",2020,"Warm/Wet","Imereti",-0.162
"Agriculture",2020,"Hot/Dry","Abkhazia",-1.0017
"Industry",2020,"Hot/Dry","Abkhazia",-0.4606
"Services",2020,"Hot/Dry","Abkhazia",-0.1015
"Agriculture",2020,"Hot/Dry","Samegrelo-Zemo Svaneti",-2.544
"Industry",2020,"Hot/Dry","Samegrelo-Zemo Svaneti",-1.2215
"Services",2020,"Hot/Dry","Samegrelo-Zemo Svaneti",-0.4443
"Agriculture",2020,"Hot/Dry","Shida Kartli",-0.1902
"Industry",2020,"Hot/Dry","Shida Kartli",-0.0618
"Services",2020,"Hot/Dry","Shida Kartli",-0.0114
"Agriculture",2020,"Hot/Dry","Racha-Lechkhumi-Kvemo Svaneti",-1.2069
"Industry",2020,"Hot/Dry","Racha-Lechkhumi-Kvemo Svaneti",-1.0159
"Services",2020,"Hot/Dry","Racha-Lechkhumi-Kvemo Svaneti",-0.1502
"Agriculture",2020,"Hot/Dry","Mtskheta-Mtianeti",-0.3406
"Industry",2020,"Hot/Dry","Mtskheta-Mtianeti",-0.168
"Services",2020,"Hot/Dry","Mtskheta-Mtianeti",-0.0279
"Agriculture",2020,"Hot/Dry","Kakheti",-1.6211
"Industry",2020,"Hot/Dry","Kakheti",-0.5359
"Services",2020,"Hot/Dry","Kakheti",-0.1619
"Agriculture",2020,"Hot/Dry","Samtskhe-Javakheti",-0.0555
