product,year,scenario,region,pct_change
aggregated,2020,Hot/Dry,Abkhazia,
aggregated,2020,Median,Abkhazia,
aggregated,2020,Warm/Wet,Abkhazia,
aggregated,2020,Hot/Dry,Ajaria,-1.6628018829050575
aggregated,2020,Median,Ajaria,-1.4649562412771786
aggregated,2020,Warm/Wet,Ajaria,-1.3523697516093165
aggregated,2020,Hot/Dry,Guria,-5.949492984042635
aggregated,2020,Median,Guria,-5.3272596052996875
aggregated,2020,Warm/Wet,Guria,-5.471595550952912
aggregated,2020,Hot/Dry,Imereti,-3.0188663985122446
aggregated,2020,Median,Imereti,-2.992298654133151
aggregated,2020,Warm/Wet,Imereti,-3.23216551666917
aggregated,2020,Hot/Dry,Kakheti,-1.2785620027677709
aggregated,2020,Median,Kakheti,-1.4858975159928178
aggregated,2020,Warm/Wet,Kakheti,-1.4201074401050846
aggregated,2020,Hot/Dry,Kvemo Kartli,-0.9366930913082854
aggregated,2020,Median,Kvemo Kartli,-1.031657054084846
aggregated,2020,Warm/Wet,Kvemo Kartli,-1.1927649820501927
aggregated,2020,Hot/Dry,Mtskheta-Mtianeti,-0.3629084940257883
aggregated,2020,Median,Mtskheta-Mtianeti,-0.33884968573170227
aggregated,2020,Warm/Wet,Mtskheta-Mtianeti,-0.3479450722124682
aggregated,2020,Hot/Dry,Racha-Lechkhumi-Kvemo Svaneti,-0.32591058113079896
aggregated,2020,Median,Racha-Lechkhumi-Kvemo Svaneti,-0.29916619419704205
aggregated,2020,Warm/Wet,Racha-Lechkhumi-Kvemo Svaneti,-0.3758483664918515
aggregated,2020,Hot/Dry,Samegrelo-Zemo Svaneti,-1.3373722411988211
aggregated,2020,Median,Samegrelo-Zemo Svaneti,-0.9828276301761321
aggregated,2020,Warm/Wet,Samegrelo-Zemo Svaneti,-1.1504468449226266
aggregated,2020,Hot/Dry,Samtskhe-Javakheti,-0.4144482585801086
aggregated,2020,Median,Samtskhe-Javakheti,-0.4596895958361813
aggregated,2020,Warm/Wet,Samtskhe-Javakheti,-0.5079166786377982
aggregated,2020,Hot/Dry,Shida Kartli,-0.413836177623395
aggregated,2020,Median,Shida Kartli,-0.42061873072633205
aggregated,2020,Warm/Wet,Shida Kartli,-0.48581189798831304
aggregated,2020,Hot/Dry,Tbilisi,-1.1276141581398065
aggregated,2020,Median,Tbilisi,-1.2655478219669618
aggregated,2020,Warm/Wet,Tbilisi,-1.3106722504280697
aggregated,2021,Hot/Dry,Abkhazia,
aggregated,2021,Median,Abkhazia,
aggregated,2021,Warm/Wet,Abkhazia,
aggregated,2021,Hot/Dry,Ajaria,-1.695827916690419
aggregated,2021,Median,Ajaria,-0.9633143739549155
aggregated,2021,Warm/Wet,Ajaria,-1.4295386043287408
aggregated,2021,Hot/Dry,Guria,-7.060951597292288
aggregated,2021,Median,Guria,-2.7070678986643344
aggregated,2021,Warm/Wet,Guria,-5.00160077506446
aggregated,2021,Hot/Dry,Imereti,-3.4079941806746206
aggregated,2021,Median,Imereti,-1.8846224329007981
aggregated,2021,Warm/Wet,Imereti,-3.025281237550942
aggregated,2021,Hot/Dry,Kakheti,-1.5102696898604648
aggregated,2021,Median,Kakheti,-1.0218972867979659
aggregated,2021,Warm/Wet,Kakheti,-2.6374299647528687
aggregated,2021,Hot/Dry,Kvemo Kartli,-0.9145545735902658
aggregated,2021,Median,Kvemo Kartli,-0.6959645421510174
aggregated,2021,Warm/Wet,Kvemo Kartli,-1.631012489388766
aggregated,2021,Hot/Dry,Mtskheta-Mtianeti,-0.3662265961661433
aggregated,2021,Median,Mtskheta-Mtianeti,-0.3208077208632858
aggregated,2021,Warm/Wet,Mtskheta-Mtianeti,-0.3661661618905896
aggregated,2021,Hot/Dry,Racha-Lechkhumi-Kvemo Svaneti,-0.4071862942549842
aggregated,2021,Median,Racha-Lechkhumi-Kvemo Svaneti,-0.311088875054665
aggregated,2021,Warm/Wet,Racha-Lechkhumi-Kvemo Svaneti,-0.31731179521680986
aggregated,2021,Hot/Dry,Samegrelo-Zemo Svaneti,-1.3742904111757497
aggregated,2021,Median,Samegrelo-Zemo Svaneti,-0.6540047299662888
aggregated,2021,Warm/Wet,Samegrelo-Zemo Svaneti,-1.0484981544249479
aggregated,2021,Hot/Dry,Samtskhe-Javakheti,-0.4274319757823264
aggregated,2021,Median,Samtskhe-Javakheti,-0.37499800769620606
aggregated,2021,Warm/Wet,Samtskhe-Javakheti,-0.45155343271069626
aggregated,2021,Hot/Dry,Shida Kartli,-0.4540129504858612
aggregated,2021,Median,Shida Kartli,-0.35663854958301044
aggregated,2021,Warm/Wet,Shida Kartli,-0.5433689284865437
aggregated,2021,Hot/Dry,Tbilisi,-1.2350680651894663
aggregated,2021,Median,Tbilisi,-0.6890740564106181
aggregated,2021,Warm/Wet,Tbilisi,-1.7281867170214156
aggregated,2022,Hot/Dry,Abkhazia,
aggregated,2022,Median,Abkhazia,
aggregated,2022,Warm/Wet,Abkhazia,
aggregated,2022,Hot/Dry,Ajaria,-1.3089839380202193
aggregated,2022,Median,Ajaria,-1.0934805548361766
aggregated,2022,Warm/Wet,Ajaria,-1.2967760778473973
aggregated,2022,Hot/Dry,Guria,-5.254565029957206
aggregated,2022,Median,Guria,-4.112626674546291
aggregated,2022,Warm/Wet,Guria,-5.095477426466047
aggregated,2022,Hot/Dry,Imereti,-2.906867149650793
aggregated,2022,Median,Imereti,-2.3748020609081664
aggregated,2022,Warm/Wet,Imereti,-3.0194302056326165
aggregated,2022,Hot/Dry,Kakheti,-1.5117077498741907
aggregated,2022,Median,Kakheti,-1.7316979005084647
aggregated,2022,Warm/Wet,Kakheti,-1.6254719780628903
aggregated,2022,Hot/Dry,Kvemo Kartli,-1.0440193311101496
aggregated,2022,Median,Kvemo Kartli,-1.354136519338212
aggregated,2022,Warm/Wet,Kvemo Kartli,-1.0243954511422686
aggregated,2022,Hot/Dry,Mtskheta-Mtianeti,-0.3546653166721967
aggregated,2022,Median,Mtskheta-Mtianeti,-0.37793729239896834
aggregated,2022,Warm/Wet,Mtskheta-Mtianeti,-0.34488774524749033
aggregated,2022,Hot/Dry,Racha-Lechkhumi-Kvemo Svaneti,-0.3425214406825461
aggregated,2022,Median,Racha-Lechkhumi-Kvemo Svaneti,-0.3394500739240556
aggregated,2022,Warm/Wet,Racha-Lechkhumi-Kvemo Svaneti,-0.3313800350840381
aggregated,2022,Hot/Dry,Samegrelo-Zemo Svaneti,-0.9640980515235356
aggregated,2022,Median,Samegrelo-Zemo Svaneti,-0.8635185850207847
aggregated,2022,Warm/Wet,Samegrelo-Zemo Svaneti,-0.920106038320057
aggregated,2022,Hot/Dry,Samtskhe-Javakheti,-0.4463661527741749
aggregated,2022,Median,Samtskhe-Javakheti,-0.4139867210858057
aggregated,2022,Warm/Wet,Samtskhe-Javakheti,-0.42334810342588014
aggregated,2022,Hot/Dry,Shida Kartli,-0.4618111447189506
aggregated,2022,Median,Shida Kartli,-0.47640236803367486
aggregated,2022,Warm/Wet,Shida Kartli,-0.42870802497790805
aggregated,2022,Hot/Dry,Tbilisi,-0.9274148398080087
aggregated,2022,Median,Tbilisi,-1.2145684823911154
aggregated,2022,Warm/Wet,Tbilisi,-1.3141109287384296
aggregated,2023,Hot/Dry,Abkhazia,
aggregated,2023,Median,Abkhazia,
aggregated,2023,Warm/Wet,Abkhazia,
aggregated,2023,Hot/Dry,Ajaria,-1.440730334122179
aggregated,2023,Median,Ajaria,-1.3596896859525884
aggregated,2023,Warm/Wet,Ajaria,-0.9023403675867314
aggregated,2023,Hot/Dry,Guria,-5.502489402630687
aggregated,2023,Median,Guria,-5.574651019856233
aggregated,2023,Warm/Wet,Guria,-3.9974017548812384
aggregated,2023,Hot/Dry,Imereti,-3.1675536952497936
aggregated,2023,Median,Imereti,-3.1426819790242746
aggregated,2023,Warm/Wet,Imereti,-2.1996951894161754
aggregated,2023,Hot/Dry,Kakheti,-1.191098366478883
aggregated,2023,Median,Kakheti,-1.447314970888712
aggregated,2023,Warm/Wet,Kakheti,-1.0269393841407037
aggregated,2023,Hot/Dry,Kvemo Kartli,-1.1154051183044658
aggregated,2023,Median,Kvemo Kartli,-1.6214508745929663
aggregated,2023,Warm/Wet,Kvemo Kartli,-0.7201274964915427
aggregated,2023,Hot/Dry,Mtskheta-Mtianeti,-0.3361725009089014
aggregated,2023,Median,Mtskheta-Mtianeti,-0.34365094007520725
aggregated,2023,Warm/Wet,Mtskheta-Mtianeti,-0.32960218967630794
aggregated,2023,Hot/Dry,Racha-Lechkhumi-Kvemo Svaneti,-0.3255993136145605
aggregated,2023,Median,Racha-Lechkhumi-Kvemo Svaneti,-0.3727529778349492
aggregated,2023,Warm/Wet,Racha-Lechkhumi-Kvemo Svaneti,-0.31538140298343365
aggregated,2023,Hot/Dry,Samegrelo-Zemo Svaneti,-1.0241171697875444
aggregated,2023,Median,Samegrelo-Zemo Svaneti,-1.0336633761229592
aggregated,2023,Warm/Wet,Samegrelo-Zemo Svaneti,-0.8390439625449773
aggregated,2023,Hot/Dry,Samtskhe-Javakheti,-0.44340312558877315
aggregated,2023,Median,Samtskhe-Javakheti,-0.4911788127435841
aggregated,2023,Warm/Wet,Samtskhe-Javakheti,-0.4170721491758371
aggregated,2023,Hot/Dry,Shida Kartli,-0.4612317088519262
aggregated,2023,Median,Shida Kartli,-0.5156246673171836
aggregated,2023,Warm/Wet,Shida Kartli,-0.34762272355747825
aggregated,2023,Hot/Dry,Tbilisi,-1.134752938849573
aggregated,2023,Median,Tbilisi,-0.9050186882776359
aggregated,2023,Warm/Wet,Tbilisi,-0.6162607960078077
aggregated,2024,Hot/Dry,Abkhazia,
aggregated,2024,Median,Abkhazia,
aggregated,2024,Warm/Wet,Abkhazia,
aggregated,2024,Hot/Dry,Ajaria,-3.0254117750731666
aggregated,2024,Median,Ajaria,-0.7691768925318598
aggregated,2024,Warm/Wet,Ajaria,-1.8005064510529252
aggregated,2024,Hot/Dry,Guria,-10.463673491631027
aggregated,2024,Median,Guria,-2.857864992552649
aggregated,2024,Warm/Wet,Guria,-6.641112789414791
aggregated,2024,Hot/Dry,Imereti,-6.162766009491492
aggregated,2024,Median,Imereti,-1.830805582442494
aggregated,2024,Warm/Wet,Imereti,-3.5367803220958507
aggregated,2024,Hot/Dry,Kakheti,-2.6443973316645497
aggregated,2024,Median,Kakheti,-1.155604517560505
aggregated,2024,Warm/Wet,Kakheti,-1.6431900312585555
aggregated,2024,Hot/Dry,Kvemo Kartli,-2.266009446663759
aggregated,2024,Median,Kvemo Kartli,-0.6507748553068069
aggregated,2024,Warm/Wet,Kvemo Kartli,-1.1219106134769703
aggregated,2024,Hot/Dry,Mtskheta-Mtianeti,-0.4503377653708185
aggregated,2024,Median,Mtskheta-Mtianeti,-0.32054006474399444
aggregated,2024,Warm/Wet,Mtskheta-Mtianeti,-0.34860752248818017
aggregated,2024,Hot/Dry,Racha-Lechkhumi-Kvemo Svaneti,-0.6369703772531068
aggregated,2024,Median,Racha-Lechkhumi-Kvemo Svaneti,-0.3021738029605956
aggregated,2024,Warm/Wet,Racha-Lechkhumi-Kvemo Svaneti,-0.35576233384624345
aggregated,2024,Hot/Dry,Samegrelo-Zemo Svaneti,-2.2961360415468306
aggregated,2024,Median,Samegrelo-Zemo Svaneti,-0.6703669389360982
aggregated,2024,Warm/Wet,Samegrelo-Zemo Svaneti,-1.2056434578404662
aggregated,2024,Hot/Dry,Samtskhe-Javakheti,-0.781448748180722
aggregated,2024,Median,Samtskhe-Javakheti,-0.3622852576755946
aggregated,2024,Warm/Wet,Samtskhe-Javakheti,-0.4501852803283555
aggregated,2024,Hot/Dry,Shida Kartli,-0.9975749444539019
aggregated,2024,Median,Shida Kartli,-0.3713446824007889
aggregated,2024,Warm/Wet,Shida Kartli,-0.43106727543714385
aggregated,2024,Hot/Dry,Tbilisi,-3.0660914267948414
aggregated,2024,Median,Tbilisi,-0.6729447408884113
aggregated,2024,Warm/Wet,Tbilisi,-1.0882267214877714
aggregated,2025,Hot/Dry,Abkhazia,
aggregated,2025,Median,Abkhazia,
aggregated,2025,Warm/Wet,Abkhazia,
aggregated,2025,Hot/Dry,Ajaria,-3.230293590972977
aggregated,2025,Median,Ajaria,-1.2005235665200331
aggregated,2025,Warm/Wet,Ajaria,-1.7862087136136182
aggregated,2025,Hot/Dry,Guria,-11.100178047963269
aggregated,2025,Median,Guria,-5.545690982410662
aggregated,2025,Warm/Wet,Guria,-6.456118909329518
aggregated,2025,Hot/Dry,Imereti,-5.927013245303613
aggregated,2025,Median,Imereti,-3.1962597945737343
aggregated,2025,Warm/Wet,Imereti,-2.955136558479893
aggregated,2025,Hot/Dry,Kakheti,-1.8888579853697536
aggregated,2025,Median,Kakheti,-1.2900586375475598
aggregated,2025,Warm/Wet,Kakheti,-1.246748417681772
aggregated,2025,Hot/Dry,Kvemo Kartli,-1.8482600649377048
aggregated,2025,Median,Kvemo Kartli,-1.3607119632726778
aggregated,2025,Warm/Wet,Kvemo Kartli,-1.019678473921303
aggregated,2025,Hot/Dry,Mtskheta-Mtianeti,-0.5251753216598161
aggregated,2025,Median,Mtskheta-Mtianeti,-0.3380293515744768
aggregated,2025,Warm/Wet,Mtskheta-Mtianeti,-0.34967647599879115
aggregated,2025,Hot/Dry,Racha-Lechkhumi-Kvemo Svaneti,-0.691458300449824
aggregated,2025,Median,Racha-Lechkhumi-Kvemo Svaneti,-0.3563568193665674
