regions,exposure,total_pop,scenario,RegNo
Kakheti,6161.958231,294594.9421,2020,0
Tbilisi,88910.05122,1163707.082,2020,1
Shida Kartli,36330.34892,255197.031,2020,2
Kvemo Kartli,23332.7169,479197.056,2020,3
Samtskhe-Javakheti,19257.86947,151863.3341,2020,5
Adjara Aut. Rep.,21382.64,338858.294,2020,7
Guria,12200.0881,110187.5878,2020,8
Samergelo and Zemo (upper) Svaneti,49099.46377,307081.5946,2020,9
Imereti,53099.98327,494947.9468,2020,10
Mtskheta-Mtianeti,7565.635891,73131.56407,2020,11
Abkhazia Aut. Rep.,15937.42213,276462.5214,2020,12
Racha-Lechkhumi and Kvemo (lower) Svaneti,5846.179971,26450.4021,2020,13
Kakheti,6275.25619,294594.9421,2050-SSP2_4.5,0
Tbilisi,84265.57228,1163707.082,2050-SSP2_4.5,1
Shida Kartli,33751.23253,255197.031,2050-SSP2_4.5,2
Kvemo Kartli,22871.42838,479197.056,2050-SSP2_4.5,3
Samtskhe-Javakheti,19087.98056,151863.3341,2050-SSP2_4.5,5
Adjara Aut. Rep.,21348.43112,338858.294,2050-SSP2_4.5,7
Guria,12370.08495,110187.5878,2050-SSP2_4.5,8
Samergelo and Zemo (upper) Svaneti,50360.23957,307081.5946,2050-SSP2_4.5,9
Imereti,53532.31967,494947.9468,2050-SSP2_4.5,10
Mtskheta-Mtianeti,7592.893798,73131.56407,2050-SSP2_4.5,11
Abkhazia Aut. Rep.,16144.90272,276462.5214,2050-SSP2_4.5,12
Racha-Lechkhumi and Kvemo (lower) Svaneti,5910.867034,26450.4021,2050-SSP2_4.5,13
Kakheti,6319.463265,294594.9421,2050-SSP5_8.5,0
Tbilisi,80431.16423,1163707.082,2050-SSP5_8.5,1
Shida Kartli,32183.73233,255197.031,2050-SSP5_8.5,2
Kvemo Kartli,22584.27958,479197.056,2050-SSP5_8.5,3
Samtskhe-Javakheti,18978.03293,151863.3341,2050-SSP5_8.5,5
Adjara Aut. Rep.,21286.7883,338858.294,2050-SSP5_8.5,7
Guria,12443.85249,110187.5878,2050-SSP5_8.5,8
Samergelo and Zemo (upper) Svaneti,50813.68604,307081.5946,2050-SSP5_8.5,9
Imereti,53606.48756,494947.9468,2050-SSP5_8.5,10
Mtskheta-Mtianeti,7564.890821,73131.56407,2050-SSP5_8.5,11
Abkhazia Aut. Rep.,16258.50361,276462.5214,2050-SSP5_8.5,12
Racha-Lechkhumi and Kvemo (lower) Svaneti,5947.819236,26450.4021,2050-SSP5_8.5,13
